# =========================
# Model parameters (CGLE3)
# =========================
# D = 1.0
# alpha = 2.0
# beta = 2.0
# gamma = -1.0
# delta = 0.0
# epsilon = 0.2991925493908679
# nu = 0
# mu = 0
# =========================
basis,N,scaling,method,delta_t,T,err_inf,err_2,comp_time,nfev,nfev2
fourier ,4096,3.141593e+02,strang  ,2.500000e+00,1.000000e+01,nan,nan,2.480268e-03,     4,     6
fourier ,4096,3.141593e+02,ruth    ,2.500000e+00,1.000000e+01,nan,nan,4.607201e-03,    12,    12
fourier ,4096,3.141593e+02,neri    ,2.500000e+00,1.000000e+01,nan,nan,5.301476e-03,    12,    14
fourier ,4096,3.141593e+02,yoshida6,2.500000e+00,1.000000e+01,nan,nan,1.024461e-02,    28,    30
fourier ,4096,3.141593e+02,affineS2,2.500000e+00,1.000000e+01,nan,nan,3.019571e-03,     8,     8
fourier ,4096,3.141593e+02,affineS4,2.500000e+00,1.000000e+01,nan,nan,8.806944e-03,    24,    24
fourier ,4096,3.141593e+02,affineS6,2.500000e+00,1.000000e+01,nan,nan,1.642776e-02,    48,    48
fourier ,4096,3.141593e+02,dopri5  ,2.500000e+00,1.000000e+01,2.650572e+00,9.570720e+00,2.947054e+00,     1,     1
fourier ,4096,3.141593e+02,dopri853,2.500000e+00,1.000000e+01,3.158166e-13,1.130427e-12,6.249380e+00,     1,     1
fourier ,4096,3.141593e+02,strang  ,1.000000e+00,1.000000e+01,nan,nan,4.389048e-03,    10,    15
fourier ,4096,3.141593e+02,ruth    ,1.000000e+00,1.000000e+01,nan,nan,9.114504e-03,    30,    30
fourier ,4096,3.141593e+02,neri    ,1.000000e+00,1.000000e+01,nan,nan,1.230097e-02,    30,    35
fourier ,4096,3.141593e+02,yoshida6,1.000000e+00,1.000000e+01,nan,nan,2.365303e-02,    70,    75
fourier ,4096,3.141593e+02,affineS2,1.000000e+00,1.000000e+01,nan,nan,7.441044e-03,    20,    20
fourier ,4096,3.141593e+02,affineS4,1.000000e+00,1.000000e+01,nan,nan,1.979089e-02,    60,    60
fourier ,4096,3.141593e+02,affineS6,1.000000e+00,1.000000e+01,nan,nan,3.727174e-02,   120,   120
fourier ,4096,3.141593e+02,dopri5  ,1.000000e+00,1.000000e+01,1.165963e-08,4.182313e-08,3.760600e+00,     1,     1
