# =========================
# Model parameters (NLS3)
# =========================
# D = 1.0
# gamma = -1.0
# =========================
basis,N,scaling,method,delta_t,T,err_inf,err_2,err_M,err_H,comp_time,nfev,nfev2
fourier ,  64,5.000000e+01,strang  ,2.500000e-02,1.000000e+01,9.677865e-01,1.536507e+00,9.672558e-15,5.659424e-02,2.085543e-02,   400,   600
fourier ,  64,5.000000e+01,ruth    ,2.500000e-02,1.000000e+01,9.678080e-01,1.536544e+00,3.132067e-14,5.654340e-02,3.808236e-02,  1200,  1200
fourier ,  64,5.000000e+01,neri    ,2.500000e-02,1.000000e+01,9.678080e-01,1.536544e+00,2.825001e-14,5.654339e-02,3.865647e-02,  1200,  1400
fourier ,  64,5.000000e+01,yoshida6,2.500000e-02,1.000000e+01,9.678080e-01,1.536544e+00,7.477041e-14,5.654342e-02,9.385777e-02,  2800,  3000
fourier ,  64,5.000000e+01,affineS2,2.500000e-02,1.000000e+01,9.677233e-01,1.536404e+00,1.866736e-06,5.671165e-02,3.431892e-02,   800,   800
fourier ,  64,5.000000e+01,affineS4,2.500000e-02,1.000000e+01,9.678080e-01,1.536544e+00,4.482832e-11,5.654342e-02,8.893371e-02,  2400,  2400
fourier ,  64,5.000000e+01,affineS6,2.500000e-02,1.000000e+01,9.678080e-01,1.536544e+00,2.917121e-15,5.654342e-02,1.789985e-01,  4800,  4800
fourier , 128,5.000000e+01,strang  ,2.500000e-02,1.000000e+01,2.489131e-02,7.853248e-02,1.883956e-15,3.709625e-04,2.744699e-02,   400,   600
fourier , 128,5.000000e+01,ruth    ,2.500000e-02,1.000000e+01,2.499490e-02,7.887881e-02,6.436849e-15,3.469334e-04,5.560064e-02,  1200,  1200
fourier , 128,5.000000e+01,neri    ,2.500000e-02,1.000000e+01,2.499561e-02,7.888097e-02,8.006812e-15,3.468403e-04,5.084085e-02,  1200,  1400
fourier , 128,5.000000e+01,yoshida6,2.500000e-02,1.000000e+01,2.499484e-02,7.887868e-02,2.386344e-14,3.469086e-04,1.052160e-01,  2800,  3000
fourier , 128,5.000000e+01,affineS2,2.500000e-02,1.000000e+01,2.463930e-02,7.755554e-02,7.637876e-06,4.253548e-04,3.405118e-02,   800,   800
fourier , 128,5.000000e+01,affineS4,2.500000e-02,1.000000e+01,2.499482e-02,7.887862e-02,3.697433e-10,3.469095e-04,1.115534e-01,  2400,  2400
fourier , 128,5.000000e+01,affineS6,2.500000e-02,1.000000e+01,2.499484e-02,7.887868e-02,3.579516e-14,3.469086e-04,1.941636e-01,  4800,  4800
fourier , 256,5.000000e+01,strang  ,2.500000e-02,1.000000e+01,5.694813e-04,1.310009e-03,5.495324e-15,2.595584e-05,2.857351e-02,   400,   600
fourier , 256,5.000000e+01,ruth    ,2.500000e-02,1.000000e+01,3.940601e-06,1.647675e-05,1.224672e-14,4.569286e-08,6.184816e-02,  1200,  1200
fourier , 256,5.000000e+01,neri    ,2.500000e-02,1.000000e+01,5.984228e-06,1.816804e-05,1.365980e-14,8.349786e-08,6.443453e-02,  1200,  1400
fourier , 256,5.000000e+01,yoshida6,2.500000e-02,1.000000e+01,3.906243e-06,1.645818e-05,2.229531e-14,3.116161e-08,1.363657e-01,  2800,  3000
fourier , 256,5.000000e+01,affineS2,2.500000e-02,1.000000e+01,2.338314e-03,5.354453e-03,7.883541e-06,8.502854e-05,4.494238e-02,   800,   800
fourier , 256,5.000000e+01,affineS4,2.500000e-02,1.000000e+01,3.940790e-06,1.645859e-05,3.077932e-10,3.273397e-08,1.151974e-01,  2400,  2400
fourier , 256,5.000000e+01,affineS6,2.500000e-02,1.000000e+01,3.905845e-06,1.645884e-05,3.752521e-14,3.108680e-08,2.255776e-01,  4800,  4800
fourier , 512,5.000000e+01,strang  ,2.500000e-02,1.000000e+01,5.720268e-04,1.852884e-03,5.181305e-15,2.592543e-05,4.056191e-02,   400,   600
fourier , 512,5.000000e+01,ruth    ,2.500000e-02,1.000000e+01,2.138906e-07,1.008470e-06,1.664298e-14,1.461109e-08,7.586980e-02,  1200,  1200
fourier , 512,5.000000e+01,neri    ,2.500000e-02,1.000000e+01,3.198202e-06,1.037965e-05,1.554392e-14,1.147755e-07,9.076786e-02,  1200,  1400
fourier , 512,5.000000e+01,yoshida6,2.500000e-02,1.000000e+01,1.945607e-09,5.794975e-09,4.506165e-14,7.652379e-11,1.853995e-01,  2800,  3000
fourier , 512,5.000000e+01,affineS2,2.500000e-02,1.000000e+01,2.340628e-03,7.572707e-03,7.883740e-06,8.500053e-05,5.934381e-02,   800,   800
