# =========================
# Model parameters (NLS3)
# =========================
# D = 1.0
# gamma = -1.0
# =========================
basis,N,scaling,method,delta_t,T,err_inf,err_2,err_M,err_H,comp_time,nfev,nfev2
hermite ,  10,1.250000e+00,strang  ,2.500000e-02,1.000000e+01,3.721865e-01,6.255967e-01,4.623439e-13,4.747575e+00,2.201366e-02,   400,   600
hermite ,  10,1.250000e+00,ruth    ,2.500000e-02,1.000000e+01,3.717226e-01,6.258700e-01,1.331123e-12,4.727758e+00,4.707575e-02,  1200,  1200
hermite ,  10,1.250000e+00,neri    ,2.500000e-02,1.000000e+01,3.717211e-01,6.258707e-01,1.377609e-12,4.727701e+00,3.708386e-02,  1200,  1400
hermite ,  10,1.250000e+00,yoshida6,2.500000e-02,1.000000e+01,3.717230e-01,6.258699e-01,3.230597e-12,4.727769e+00,7.734895e-02,  2800,  3000
hermite ,  10,1.250000e+00,affineS2,2.500000e-02,1.000000e+01,3.734624e-01,6.247086e-01,7.527331e-06,4.805781e+00,2.258492e-02,   800,   800
hermite ,  10,1.250000e+00,affineS4,2.500000e-02,1.000000e+01,3.717230e-01,6.258699e-01,3.745564e-10,4.727771e+00,5.793118e-02,  2400,  2400
hermite ,  10,1.250000e+00,affineS6,2.500000e-02,1.000000e+01,3.717229e-01,6.258699e-01,1.983336e-12,4.727769e+00,1.063752e-01,  4800,  4800
hermite ,  20,1.250000e+00,strang  ,2.500000e-02,1.000000e+01,2.396878e-02,4.635068e-02,3.327037e-13,2.970337e-01,2.322268e-02,   400,   600
hermite ,  20,1.250000e+00,ruth    ,2.500000e-02,1.000000e+01,2.446219e-02,4.658368e-02,1.090590e-12,2.980032e-01,4.214263e-02,  1200,  1200
hermite ,  20,1.250000e+00,neri    ,2.500000e-02,1.000000e+01,2.446447e-02,4.658494e-02,1.128586e-12,2.980030e-01,4.511499e-02,  1200,  1400
hermite ,  20,1.250000e+00,yoshida6,2.500000e-02,1.000000e+01,2.446234e-02,4.658380e-02,2.491117e-12,2.980029e-01,8.700538e-02,  2800,  3000
hermite ,  20,1.250000e+00,affineS2,2.500000e-02,1.000000e+01,2.252890e-02,4.579625e-02,7.742733e-06,2.953604e-01,2.627158e-02,   800,   800
hermite ,  20,1.250000e+00,affineS4,2.500000e-02,1.000000e+01,2.446227e-02,4.658376e-02,3.374342e-10,2.980029e-01,6.233525e-02,  2400,  2400
hermite ,  20,1.250000e+00,affineS6,2.500000e-02,1.000000e+01,2.446234e-02,4.658380e-02,1.457208e-12,2.980029e-01,1.172693e-01,  4800,  4800
hermite ,  40,1.250000e+00,strang  ,2.500000e-02,1.000000e+01,1.120973e-03,1.937475e-03,2.873269e-13,1.204772e-03,3.165245e-02,   400,   600
hermite ,  40,1.250000e+00,ruth    ,2.500000e-02,1.000000e+01,1.092342e-03,1.525713e-03,8.685752e-13,1.698667e-05,5.677962e-02,  1200,  1200
hermite ,  40,1.250000e+00,neri    ,2.500000e-02,1.000000e+01,1.092128e-03,1.525674e-03,9.360891e-13,2.357695e-05,5.569458e-02,  1200,  1400
hermite ,  40,1.250000e+00,yoshida6,2.500000e-02,1.000000e+01,1.092275e-03,1.525628e-03,2.315572e-12,1.817087e-05,1.097143e-01,  2800,  3000
hermite ,  40,1.250000e+00,affineS2,2.500000e-02,1.000000e+01,2.448381e-03,5.038646e-03,7.879949e-06,3.656680e-03,3.094172e-02,   800,   800
hermite ,  40,1.250000e+00,affineS4,2.500000e-02,1.000000e+01,1.092279e-03,1.525628e-03,3.061999e-10,1.808749e-05,7.780766e-02,  2400,  2400
hermite ,  40,1.250000e+00,affineS6,2.500000e-02,1.000000e+01,1.092275e-03,1.525628e-03,1.399580e-12,1.817439e-05,1.515296e-01,  4800,  4800
hermite ,  80,1.250000e+00,strang  ,2.500000e-02,1.000000e+01,5.659457e-04,1.429968e-03,1.909232e-13,1.208445e-03,5.617213e-02,   400,   600
hermite ,  80,1.250000e+00,ruth    ,2.500000e-02,1.000000e+01,1.281933e-05,1.769486e-05,5.661753e-13,2.756820e-06,1.194267e-01,  1200,  1200
hermite ,  80,1.250000e+00,neri    ,2.500000e-02,1.000000e+01,1.295357e-05,1.955413e-05,6.173604e-13,8.946364e-06,2.264323e-01,  1200,  1400
hermite ,  80,1.250000e+00,yoshida6,2.500000e-02,1.000000e+01,1.284997e-05,1.772581e-05,1.339446e-12,3.523757e-06,3.250787e-01,  2800,  3000
hermite ,  80,1.250000e+00,affineS2,2.500000e-02,1.000000e+01,2.320721e-03,5.850608e-03,7.883709e-06,3.748934e-03,5.489755e-02,   800,   800
hermite ,  80,1.250000e+00,affineS4,2.500000e-02,1.000000e+01,1.284759e-05,1.772671e-05,3.087257e-10,3.434697e-06,1.432242e-01,  2400,  2400
hermite ,  80,1.250000e+00,affineS6,2.500000e-02,1.000000e+01,1.285002e-05,1.772603e-05,1.022915e-12,3.527300e-06,2.471151e-01,  4800,  4800
