# =========================
# Model parameters (fCGLE5)
# =========================
# D = 1.0
# alpha = 1.8
# beta = 0.1
# gamma = -1.0
# delta = -0.2
# epsilon = 1.7
# nu = -0.115
# mu = -1.0
# =========================
basis,N,scaling,method,delta_t,T,err_inf,err_2,comp_time,nfev,nfev2
hermite , 300,1.000000e+00,strang  ,5.000000e-01,1.000000e+01,5.384985e-01,2.151240e+00,1.071894e-01,    20,    30
hermite , 300,1.000000e+00,ruth    ,5.000000e-01,1.000000e+01,7.864116e-02,3.511837e-01,2.777603e-01,    60,    60
hermite , 300,1.000000e+00,neri    ,5.000000e-01,1.000000e+01,2.610878e+00,2.401995e+01,3.282773e+00,    60,    70
hermite , 300,1.000000e+00,yoshida6,5.000000e-01,1.000000e+01,1.372059e+00,5.049121e+00,4.428055e-01,   140,   150
hermite , 300,1.000000e+00,affineS2,5.000000e-01,1.000000e+01,9.586490e-01,4.050767e+00,1.333947e-01,    40,    40
hermite , 300,1.000000e+00,affineS4,5.000000e-01,1.000000e+01,1.038932e-01,4.079492e-01,2.809777e-01,   120,   120
hermite , 300,1.000000e+00,affineS6,5.000000e-01,1.000000e+01,8.278306e-03,3.056555e-02,4.974182e-01,   240,   240
hermite , 300,1.000000e+00,affineS8,5.000000e-01,1.000000e+01,1.121460e-03,4.454890e-03,7.365134e-01,   400,   400
hermite , 300,1.000000e+00,dopri5  ,5.000000e-01,1.000000e+01,1.148758e-09,7.953895e-09,2.686079e-01,     1,     1
hermite , 300,1.000000e+00,dopri853,5.000000e-01,1.000000e+01,1.101789e-13,4.088714e-13,4.957840e-01,     1,     1
hermite , 300,1.000000e+00,strang  ,2.500000e-01,1.000000e+01,1.755372e-01,7.002433e-01,1.470008e-01,    40,    60
hermite , 300,1.000000e+00,ruth    ,2.500000e-01,1.000000e+01,8.632901e-03,3.669665e-02,3.128402e-01,   120,   120
hermite , 300,1.000000e+00,neri    ,2.500000e-01,1.000000e+01,1.041671e-01,4.650773e-01,2.966981e-01,   120,   140
hermite , 300,1.000000e+00,yoshida6,2.500000e-01,1.000000e+01,1.864483e-02,7.168412e-02,5.842285e-01,   280,   300
hermite , 300,1.000000e+00,affineS2,2.500000e-01,1.000000e+01,4.386892e-01,1.818741e+00,1.427166e-01,    80,    80
hermite , 300,1.000000e+00,affineS4,2.500000e-01,1.000000e+01,1.463939e-02,5.580378e-02,3.754344e-01,   240,   240
hermite , 300,1.000000e+00,affineS6,2.500000e-01,1.000000e+01,7.871708e-04,1.938319e-03,8.106375e-01,   480,   480
hermite , 300,1.000000e+00,affineS8,2.500000e-01,1.000000e+01,1.204366e-04,3.362346e-04,1.358049e+00,   800,   800
hermite , 300,1.000000e+00,dopri5  ,2.500000e-01,1.000000e+01,2.177723e-09,1.522356e-08,3.382905e-01,     1,     1
hermite , 300,1.000000e+00,dopri853,2.500000e-01,1.000000e+01,1.375322e-13,4.329383e-13,6.132388e-01,     1,     1
hermite , 300,1.000000e+00,strang  ,1.000000e-01,1.000000e+01,3.136666e-02,1.252587e-01,8.144693e-01,   100,   150
hermite , 300,1.000000e+00,ruth    ,1.000000e-01,1.000000e+01,4.264599e-04,1.967753e-03,2.012751e+00,   300,   300
