# =========================
# Model parameters (fNLSE3)
# =========================
# D = 1.0
# gamma = -1.0
# =========================
basis,N,scaling,method,delta_t,T,err_inf,err_2,err_M,err_H,comp_time,nfev,nfev2,alpha
fourier ,32768,3.000000e+02,strang  ,5.000000e-01,1.000000e+01,1.804058e+00,1.594608e+01,3.823145e-15,5.858811e-02,1.418025e-01,    20,    30,1.800000e+00
fourier ,32768,3.000000e+02,ruth    ,5.000000e-01,1.000000e+01,5.158916e-01,4.581752e+00,1.133289e-14,2.310644e-02,2.445953e-01,    60,    60,1.800000e+00
fourier ,32768,3.000000e+02,neri    ,5.000000e-01,1.000000e+01,2.675020e-01,2.794187e+00,1.146944e-14,2.453809e-02,2.609305e-01,    60,    70,1.800000e+00
fourier ,32768,3.000000e+02,yoshida6,5.000000e-01,1.000000e+01,6.120895e-01,5.251329e+00,2.648893e-14,1.557980e-02,5.017395e-01,   140,   150,1.800000e+00
fourier ,32768,3.000000e+02,affineS2,5.000000e-01,1.000000e+01,2.512981e+00,2.254690e+01,7.323033e-02,1.495361e-01,1.868930e-01,    40,    40,1.800000e+00
fourier ,32768,3.000000e+02,affineS4,5.000000e-01,1.000000e+01,2.367958e-01,2.076574e+00,1.044345e-02,3.447230e-03,4.334667e-01,   120,   120,1.800000e+00
fourier ,32768,3.000000e+02,affineS6,5.000000e-01,1.000000e+01,6.920324e-02,5.801012e-01,1.251270e-03,2.599562e-03,7.906096e-01,   240,   240,1.800000e+00
fourier ,32768,3.000000e+02,strang  ,2.500000e-01,1.000000e+01,6.666105e-01,5.675460e+00,7.509750e-15,1.715788e-02,2.289829e-01,    40,    60,1.800000e+00
fourier ,32768,3.000000e+02,ruth    ,2.500000e-01,1.000000e+01,2.576866e-02,2.882431e-01,2.252925e-14,1.158390e-03,4.337842e-01,   120,   120,1.800000e+00
fourier ,32768,3.000000e+02,neri    ,2.500000e-01,1.000000e+01,2.740421e-01,2.278076e+00,2.266579e-14,2.916685e-03,4.834669e-01,   120,   140,1.800000e+00
fourier ,32768,3.000000e+02,yoshida6,2.500000e-01,1.000000e+01,6.138519e-02,5.239950e-01,5.229517e-14,1.468146e-03,9.553373e-01,   280,   300,1.800000e+00
fourier ,32768,3.000000e+02,affineS2,2.500000e-01,1.000000e+01,2.081465e+00,1.806203e+01,3.323463e-02,8.413927e-02,3.268299e-01,    80,    80,1.800000e+00
